Time[s]	Voltage[V]_HV_Batt_net_500A_clamp	Current[A]_HV_Batt_net_500A_clamp	Power[W]_HV_Batt_net_500A_clamp	Integrated_Current[Ah]_HV_Batt_net_500A_clamp	Integrated_Power[Wh]_HV_Batt_net_500A_clamp	Voltage[V]_12V_DCDC_Out	Current[A]_12V_DCDC_Out	Power[W]_12V_DCDC_Out	Integrated_Current[Ah]_12V_DCDC_Out	Integrated_Power[Wh]_12V_DCDC_Out	Voltage[V]_12V_batt_gnd	Current[A]_12V_batt_gnd	Power[W]_12V_batt_gnd	Integrated_Current[Ah]_12V_batt_gnd	Integrated_Power[Wh]_12V_batt_gnd	Voltage[V]_AC_Compressor	Current[A]_AC_Compressor	Power[W]_AC_Compressor	Integrated_Current[Ah]_AC_Compressor	Integrated_Power[Wh]_AC_Compressor	Voltage[V]_PTC_Coolant_Heater	Current[A]_PTC_Coolant_Heater	Power[W]_PTC_Coolant_Heater	Integrated_Current[Ah]_PTC_Coolant_Heater	Integrated_Power[Wh]_PTC_Coolant_Heater	Voltage[V]_AC_Charge	Current[A]_AC_Charge	Power[W]_AC_Charge	Integrated_Current[Ah]_AC_Charge	Integrated_Power[Wh]_AC_Charge
0	5.77	-0.13	0	0	0	12.78	0	0	0	0	12.778	3.07	39.2	0.0039	0.05	5.73	-0.001	0	0	0	5.8	0.006	0	0	0	242.1	0.023	5	0	0
5	5.78	-0.13	0	0	0	12.783	0	0	0	0	12.781	2.902	37.1	0.0081	0.1	5.73	-0.001	0	0	0	5.79	0.006	0	0	0	242.07	0.023	5	0.0001	0
10	5.77	-0.13	0	-0.001	0	12.832	0	0	0	0	12.829	1.466	18.8	0.0103	0.13	5.72	-0.001	0	0	0	5.8	0.006	0	0	0	241.86	0.023	5	0.0001	0
15	5.78	-0.13	0	-0.001	0	12.845	0	0	0	0	12.843	1.468	18.9	0.0123	0.16	5.73	-0.001	0	0	0	5.8	0.006	0	0	0	242.17	0.024	5	0.0001	0
20	5.77	-0.14	0	-0.001	0	12.852	0	0	0	0	12.85	1.49	19.1	0.0144	0.18	5.72	-0.001	0	0	0	5.79	0.006	0	0	0	242.14	0.023	5	0.0002	0
25	5.78	-0.13	0	-0.001	0	12.857	0	0	0	0	12.855	1.464	18.8	0.0164	0.21	5.73	-0.001	0	0	0	5.8	0.006	0	0	0	242.09	0.023	5	0.0002	0
30	5.77	-0.12	0	-0.001	0	12.788	0	-0.1	0	0	12.781	7.407	94.6	0.0186	0.24	5.73	-0.002	0	0	0	5.8	0.005	0	0.0001	0	241.9	0.023	5	0.0002	0
35	8.61	-0.13	0	-0.001	0	12.687	-0.01	-0.1	0	0	12.685	6.806	86.3	0.0285	0.36	8.57	-0.001	0	0	0	8.65	0.006	0	0.0001	0	242.04	0.023	5	0.0003	0.1
40	336.87	1.42	480	-0.001	0	14.138	33.57	474.6	0.006	0.08	14.134	-25.072	-354.4	0.0327	0.41	336.77	0.013	4	0	0	336.85	0.013	4	0.0001	0	241.86	0.023	5	0.0003	0.1
45	337.18	-2.98	-1000	-0.003	0	14.141	27.28	385.9	0.048	0.67	14.137	-18.491	-261.5	0.0027	-0.01	337.08	0.014	5	0	0	337.16	0.011	4	0.0001	0	241.61	6.264	1493	0.0061	1.4
