Time [s]	Voltage[V]_HV_Batt_net_500A_clamp	Current[A]_HV_Batt_net_500A_clamp	Power[W]_HV_Batt_net_500A_clamp	Integrated_Current[Ah]_HV_Batt_net_500A_clamp	Integrated_Power[Wh]_HV_Batt_net_500A_clamp	Voltage[V]_12V_DCDC_Out	Current[A]_12V_DCDC_Out	Power[W]_12V_DCDC_Out	Integrated_Current[Ah]_12V_DCDC_Out	Integrated_Power[Wh]_12V_DCDC_Out	Voltage[V]_12V_batt_gnd	Current[A]_12V_batt_gnd	Power[W]_12V_batt_gnd	Integrated_Current[Ah]_12V_batt_gnd	Integrated_Power[Wh]_12V_batt_gnd	Voltage[V]_AC_Compressor	Current[A]_AC_Compressor	Power[W]_AC_Compressor	Integrated_Current[Ah]_AC_Compressor	Integrated_Power[Wh]_AC_Compressor	Voltage[V]_PTC_Coolant_Heater	Current[A]_PTC_Coolant_Heater	Power[W]_PTC_Coolant_Heater	Integrated_Current[Ah]_PTC_Coolant_Heater	Integrated_Power[Wh]_PTC_Coolant_Heater	Voltage[V]_AC_Charge	Current[A]_AC_Charge	Power[W]_AC_Charge	Integrated_Current[Ah]_AC_Charge	Integrated_Power[Wh]_AC_Charge
0	7.23	-0.05	0	0	0	12.663	-0.02	-0.3	0	0	12.661	3.008	38.1	0.0088	0.11	7.2	-0.009	0	0	0	7.18	0.006	0	0	0	241.6	0.025	5	0.0001	0
5	7.23	-0.05	0	0	0	12.664	-0.02	-0.3	0	0	12.662	2.95	37.4	0.013	0.16	7.2	-0.01	0	0	0	7.19	0.006	0	0	0	241.76	0.025	5	0.0001	0
10	7.24	-0.05	0	0	0	12.669	-0.02	-0.2	0	0	12.668	2.79	35.3	0.017	0.21	7.2	-0.01	0	-0.0001	0	7.19	0.006	0	0	0	241.6	0.025	5	0.0001	0
15	7.24	-0.05	0	0	0	12.737	-0.02	-0.3	0	0	12.736	1.396	17.8	0.0193	0.25	7.21	-0.01	0	-0.0001	0	7.18	0.007	0	0	0	241.69	0.025	5	0.0002	0
20	7.23	-0.05	0	0	0	12.752	-0.02	-0.3	0	0	12.75	1.394	17.8	0.0213	0.27	7.21	-0.009	0	-0.0001	0	7.18	0.006	0	0.0001	0	241.86	0.025	5	0.0002	0
25	7.23	-0.05	0	0	0	12.759	-0.02	-0.3	0	0	12.758	1.395	17.8	0.0232	0.29	7.21	-0.009	0	-0.0001	0	7.18	0.006	0	0.0001	0	241.77	0.025	5	0.0002	0.1
30	7.24	-0.05	0	-0.001	0	12.764	-0.02	-0.3	0	0	12.763	1.397	17.8	0.0252	0.32	7.2	-0.009	0	-0.0001	0	7.18	0.006	0	0.0001	0	241.77	0.025	5	0.0003	0.1
35	7.23	-0.05	0	-0.001	0	12.766	-0.02	-0.3	0	0	12.765	1.397	17.8	0.0271	0.34	7.21	-0.009	0	-0.0001	0	7.19	0.006	0	0.0001	0	241.78	0.025	5	0.0003	0.1
40	7.23	-0.05	0	-0.001	0	12.768	-0.02	-0.3	0	0	12.767	1.397	17.8	0.029	0.37	7.2	-0.01	0	-0.0001	0	7.18	0.007	0	0.0001	0	241.95	0.025	5	0.0004	0.1
45	7.23	-0.05	0	-0.001	0	12.769	-0.02	-0.3	0	0	12.768	1.404	17.9	0.031	0.39	7.22	-0.009	0	-0.0001	0	7.19	0.006	0	0.0001	0	241.89	0.025	5	0.0004	0.1
50	7.23	-0.05	0	-0.001	0	12.771	-0.02	-0.3	0	0	12.769	1.396	17.8	0.0329	0.42	7.21	-0.009	0	-0.0002	0	7.19	0.006	0	0.0001	0	241.81	0.025	5	0.0004	0.1
55	7.22	-0.05	0	-0.001	0	12.771	-0.02	-0.3	0	0	12.769	1.396	17.8	0.0349	0.44	7.21	-0.01	0	-0.0002	0	7.18	0.006	0	0.0001	0	241.77	0.025	5	0.0005	0.1
60	7.23	-0.05	0	-0.001	0	12.771	-0.02	-0.3	0	-0.01	12.77	1.396	17.8	0.0368	0.47	7.2	-0.009	0	-0.0002	0	7.18	0.006	0	0.0001	0	241.82	0.025	5	0.0005	0.1
65	7.23	-0.05	0	-0.001	0	12.771	-0.02	-0.3	0	-0.01	12.77	1.395	17.8	0.0387	0.49	7.21	-0.009	0	-0.0002	0	7.18	0.006	0	0.0001	0	241.75	0.025	5	0.0005	0.1
70	7.23	-0.05	0	-0.001	0	12.771	-0.02	-0.3	0	-0.01	12.77	1.392	17.8	0.0407	0.52	7.2	-0.01	0	-0.0002	0	7.19	0.006	0	0.0001	0	241.64	0.025	5	0.0006	0.1
75	7.23	-0.05	0	-0.001	0	12.771	-0.02	-0.3	-0.001	-0.01	12.77	1.398	17.8	0.0426	0.54	7.21	-0.01	0	-0.0002	0	7.19	0.006	0	0.0002	0	241.77	0.025	5	0.0006	0.1
80	7.23	-0.06	0	-0.001	0	12.771	-0.02	-0.3	-0.001	-0.01	12.77	1.397	17.8	0.0446	0.57	7.21	-0.009	0	-0.0002	0	7.18	0.006	0	0.0002	0	241.84	0.025	5	0.0006	0.1
85	7.24	-0.05	0	-0.001	0	12.77	-0.02	-0.3	-0.001	-0.01	12.769	1.398	17.9	0.0465	0.59	7.21	-0.009	0	-0.0003	0	7.19	0.006	0	0.0002	0	241.78	0.025	5	0.0007	0.1
90	7.23	-0.05	0	-0.001	0	12.77	-0.02	-0.3	-0.001	-0.01	12.769	1.396	17.8	0.0485	0.62	7.21	-0.009	0	-0.0003	0	7.18	0.006	0	0.0002	0	241.86	0.025	5	0.0007	0.1
95	336.57	0.66	220	-0.001	0	14.867	12.9	191.9	0.005	0.07	14.863	-4.39	-65.3	0.0503	0.63	336.53	0.006	2	-0.0003	0	336.51	0.01	3	0.0002	0	241.83	0.025	5	0.0007	0.2
100	337.17	-3.53	-1190	-0.004	-1	14.864	12.43	184.9	0.022	0.33	14.865	-4.152	-61.8	0.0446	0.55	337.11	0.007	2	-0.0003	0	337.1	0.01	3	0.0002	0	241.17	6.268	1495	0.0077	1.8
105	339.17	-17.49	-5930	-0.02	-6	14.866	12.9	191.8	0.04	0.59	14.862	-4.128	-61.4	0.0389	0.47	339.11	0.009	3	-0.0002	0	339.11	0.011	4	0.0002	0	238.64	27.715	6609	0.0326	7.7
110	339.39	-17.49	-5940	-0.044	-14	14.864	12.83	190.8	0.058	0.86	14.864	-4.254	-63.3	0.033	0.38	339.33	0.009	3	-0.0002	0	339.32	0.011	4	0.0002	0	238.68	27.697	6605	0.071	16.9
115	339.71	-18.53	-6300	-0.069	-23	14.865	12.96	192.7	0.076	1.12	14.862	-4.124	-61.3	0.0272	0.29	339.64	0.008	3	-0.0002	0	339.64	0.011	4	0.0002	0	238.56	29.286	6982	0.1107	26.4
120	339.87	-18.55	-6300	-0.095	-32	14.865	12.88	191.6	0.093	1.39	14.865	-4.197	-62.4	0.0214	0.21	339.82	0.008	3	-0.0002	0	339.8	0.011	4	0.0003	0	238.66	29.203	6965	0.1514	36
125	340.02	-18.44	-6270	-0.121	-41	14.866	12.89	191.7	0.111	1.66	14.863	-4.101	-61	0.0157	0.12	339.96	0.009	3	-0.0002	0	339.95	0.011	4	0.0003	0	238.62	29.29	6985	0.1921	45.7
130	340.13	-18.38	-6250	-0.146	-49	14.867	12.83	190.8	0.129	1.92	14.862	-3.928	-58.4	0.01	0.04	340.07	0.008	3	-0.0002	0	340.07	0.011	4	0.0003	0	238.49	28.991	6909	0.2327	55.4
135	340.27	-18.45	-6280	-0.172	-58	14.862	12.54	186.4	0.147	2.18	14.864	-4.053	-60.3	0.0044	-0.05	340.2	0.008	3	-0.0002	0	340.19	0.011	4	0.0003	0	238.5	29.102	6936	0.2731	65.1
140	340.37	-18.43	-6270	-0.198	-67	14.867	12.71	189	0.164	2.45	14.862	-3.811	-56.7	-0.0011	-0.13	340.32	0.009	3	-0.0002	0	340.29	0.011	4	0.0003	0	238.69	29.103	6942	0.3136	74.7
145	340.48	-18.35	-6250	-0.223	-75	14.863	12.47	185.4	0.182	2.7	14.865	-3.956	-58.9	-0.0065	-0.21	340.41	0.008	3	-0.0002	0	340.4	0.011	4	0.0003	0.1	238.5	29.163	6951	0.354	84.3
150	340.59	-18.56	-6320	-0.249	-84	14.863	12.34	183.5	0.199	2.96	14.863	-3.745	-55.7	-0.0118	-0.29	340.52	0.008	3	-0.0001	0	340.52	0.01	4	0.0003	0.1	238.41	29.233	6965	0.3945	94
155	340.66	-18.45	-6290	-0.274	-93	14.866	12.51	186	0.217	3.22	14.861	-3.655	-54.4	-0.0171	-0.37	340.6	0.008	3	-0.0001	0	340.59	0.01	4	0.0004	0.1	238.48	29.111	6938	0.435	103.6
160	340.74	-18.34	-6250	-0.3	-102	14.864	12.21	181.5	0.234	3.48	14.865	-3.819	-56.8	-0.0223	-0.44	340.67	0.008	3	-0.0001	0.1	340.69	0.011	4	0.0004	0.1	238.48	29.113	6938	0.4754	113.3
165	340.84	-18.48	-6300	-0.325	-110	14.866	12.28	182.6	0.251	3.73	14.863	-3.581	-53.3	-0.0274	-0.52	340.77	0.008	3	-0.0001	0.1	340.77	0.011	4	0.0004	0.1	238.53	29.161	6951	0.516	122.9
170	340.91	-18.42	-6280	-0.351	-119	14.867	12.23	181.8	0.268	3.98	14.864	-3.602	-53.6	-0.0324	-0.6	340.83	0.008	3	-0.0001	0.1	340.84	0.011	4	0.0004	0.1	238.36	29.181	6951	0.5564	132.6
175	340.97	-18.36	-6260	-0.376	-128	14.864	11.99	178.3	0.285	4.23	14.866	-3.669	-54.6	-0.0374	-0.67	340.91	0.009	3	-0.0001	0.1	340.91	0.01	4	0.0004	0.1	238.47	29.154	6948	0.5969	142.2
